Fragment,Count,Time (ms),Size (bytes)
Cross.list-name-practitionerroles,4,0,0
Cross.list-name-practitionerroles-json,4,1,0
Cross.list-name-practitionerroles-xml,4,2,0
Cross.list-name-practitioners,4,0,0
Cross.list-name-practitioners-json,4,1,0
Cross.list-name-practitioners-xml,4,2,0
Cross.list-name-procedures,4,1,0
Cross.list-name-procedures-json,4,1,0
Cross.list-name-procedures-xml,4,2,0
Cross.list-name-provenances,4,0,0
Cross.list-name-provenances-json,4,1,0
Cross.list-name-provenances-xml,4,2,0
Cross.list-name-questionnaireresponses,4,0,0
Cross.list-name-questionnaireresponses-json,4,1,0
Cross.list-name-questionnaireresponses-xml,4,1,0
Cross.list-name-questionnaires,4,0,0
Cross.list-name-questionnaires-json,4,1,0
Cross.list-name-questionnaires-xml,4,2,0
Cross.list-name-relatedpeople,4,0,0
Cross.list-name-relatedpeople-json,4,1,0
Cross.list-name-relatedpeople-xml,4,2,0
Cross.list-name-requestgroups,4,0,0
Cross.list-name-requestgroups-json,4,0,0
Cross.list-name-requestgroups-xml,4,1,0
Cross.list-name-requirements,4,0,0
Cross.list-name-requirements-json,4,1,0
Cross.list-name-requirements-xml,4,1,0
Cross.list-name-researchdefinitions,4,0,0
Cross.list-name-researchdefinitions-json,4,0,0
Cross.list-name-researchdefinitions-xml,4,1,0
Cross.list-name-researchelementdefinitions,4,1,0
Cross.list-name-researchelementdefinitions-json,4,1,0
Cross.list-name-researchelementdefinitions-xml,4,1,0
Cross.list-name-researchstudies,4,0,0
Cross.list-name-researchstudies-json,4,0,0
Cross.list-name-researchstudies-xml,4,0,0
Cross.list-name-researchsubjects,4,0,0
Cross.list-name-researchsubjects-json,4,0,0
Cross.list-name-researchsubjects-xml,4,0,0
Cross.list-name-riskassessments,4,0,0
Cross.list-name-riskassessments-json,4,1,0
Cross.list-name-riskassessments-xml,4,1,0
Cross.list-name-riskevidencesyntheses,4,0,0
Cross.list-name-riskevidencesyntheses-json,4,0,0
Cross.list-name-riskevidencesyntheses-xml,4,2,0
Cross.list-name-schedules,4,0,0
Cross.list-name-schedules-json,4,1,0
Cross.list-name-schedules-xml,4,1,0
Cross.list-name-searchparameters,4,1,0
Cross.list-name-searchparameters-json,4,1,0
Cross.list-name-searchparameters-xml,4,1,0
Cross.list-name-servicerequests,4,0,0
Cross.list-name-servicerequests-json,4,1,0
Cross.list-name-servicerequests-xml,4,1,0
Cross.list-name-slots,4,0,0
Cross.list-name-slots-json,4,1,0
Cross.list-name-slots-xml,4,1,0
Cross.list-name-specimen,4,0,0
Cross.list-name-specimen-json,4,1,0
Cross.list-name-specimen-xml,4,2,0
Cross.list-name-specimendefinitions,4,0,0
Cross.list-name-specimendefinitions-json,4,0,0
Cross.list-name-specimendefinitions-xml,4,1,0
Cross.list-name-structuredefinitions,4,4,6204
Cross.list-name-structuredefinitions-json,4,5,6404
Cross.list-name-structuredefinitions-xml,4,5,6364
Cross.list-name-structuremaps,4,0,0
Cross.list-name-structuremaps-json,4,1,0
Cross.list-name-structuremaps-xml,4,2,0
Cross.list-name-subscriptions,4,0,0
Cross.list-name-subscriptions-json,4,2,0
Cross.list-name-subscriptions-xml,4,2,0
Cross.list-name-subscriptiontopics,4,0,0
Cross.list-name-subscriptiontopics-json,4,2,0
Cross.list-name-subscriptiontopics-xml,4,2,0
Cross.list-name-substancenucleicacids,4,1,0
Cross.list-name-substancenucleicacids-json,4,1,0
Cross.list-name-substancenucleicacids-xml,4,1,0
Cross.list-name-substancepolymers,4,0,0
Cross.list-name-substancepolymers-json,4,2,0
Cross.list-name-substancepolymers-xml,4,2,0
Cross.list-name-substanceproteins,4,0,0
Cross.list-name-substanceproteins-json,4,0,0
Cross.list-name-substanceproteins-xml,4,0,0
Cross.list-name-substancereferenceinformations,4,0,0
Cross.list-name-substancereferenceinformations-json,4,0,0
Cross.list-name-substancereferenceinformations-xml,4,0,0
Cross.list-name-substances,4,0,0
Cross.list-name-substances-json,4,1,0
Cross.list-name-substances-xml,4,1,0
Cross.list-name-substancesourcematerials,4,0,0
Cross.list-name-substancesourcematerials-json,4,0,0
Cross.list-name-substancesourcematerials-xml,4,2,0
Cross.list-name-substancespecifications,4,0,0
Cross.list-name-substancespecifications-json,4,1,0
Cross.list-name-substancespecifications-xml,4,1,0
Cross.list-name-supplydeliveries,4,1,0
Cross.list-name-supplydeliveries-json,4,2,0
Cross.list-name-supplydeliveries-xml,4,2,0
Cross.list-name-supplyrequests,4,0,0
Cross.list-name-supplyrequests-json,4,0,0
Cross.list-name-supplyrequests-xml,4,1,0
Cross.list-name-tasks,4,0,0
Cross.list-name-tasks-json,4,0,0
Cross.list-name-tasks-xml,4,0,0
Cross.list-name-terminologycapabilities,4,0,0
Cross.list-name-terminologycapabilities-json,4,0,0
Cross.list-name-terminologycapabilities-xml,4,1,0
Cross.list-name-testplans,4,0,0
Cross.list-name-testplans-json,4,1,0
Cross.list-name-testplans-xml,4,1,0
Cross.list-name-testreports,4,0,0
Cross.list-name-testreports-json,4,1,0
Cross.list-name-testreports-xml,4,1,0
Cross.list-name-testscripts,4,0,0
Cross.list-name-testscripts-json,4,0,0
Cross.list-name-testscripts-xml,4,1,0
Cross.list-name-valuesets,4,0,1400
Cross.list-name-valuesets-json,4,1,1460
Cross.list-name-valuesets-xml,4,2,1448
Cross.list-name-verificationresults,4,0,0
Cross.list-name-verificationresults-json,4,0,0
Cross.list-name-verificationresults-xml,4,0,0
Cross.list-name-visionprescriptions,4,2,0
Cross.list-name-visionprescriptions-json,4,3,0
Cross.list-name-visionprescriptions-xml,4,3,0
Cross.list-namingsystems,4,0,0
Cross.list-namingsystems-json,4,1,0
Cross.list-namingsystems-xml,4,1,0
Cross.list-nutritionorders,4,0,0
Cross.list-nutritionorders-json,4,0,0
Cross.list-nutritionorders-xml,4,0,0
Cross.list-observationdefinitions,4,0,0
Cross.list-observationdefinitions-json,4,0,0
Cross.list-observationdefinitions-xml,4,2,0
Cross.list-observations,4,0,0
Cross.list-observations-json,4,1,0
Cross.list-observations-xml,4,3,0
Cross.list-operationdefinitions,4,0,0
Cross.list-operationdefinitions-json,4,1,0
Cross.list-operationdefinitions-xml,4,1,0
Cross.list-operationoutcomes,4,0,0
Cross.list-operationoutcomes-json,4,1,0
Cross.list-operationoutcomes-xml,4,2,0
Cross.list-organizationaffiliations,4,1,0
Cross.list-organizationaffiliations-json,4,2,0
Cross.list-organizationaffiliations-xml,4,2,0
Cross.list-organizations,4,0,0
Cross.list-organizations-json,4,0,0
Cross.list-organizations-xml,4,1,0
Cross.list-parameters,4,0,0
Cross.list-parameters-json,4,1,0
Cross.list-parameters-xml,4,1,0
Cross.list-patients,4,0,0
Cross.list-patients-json,4,0,0
Cross.list-patients-xml,4,1,0
Cross.list-paymentnotices,4,0,0
Cross.list-paymentnotices-json,4,1,0
Cross.list-paymentnotices-xml,4,1,0
Cross.list-paymentreconciliations,4,0,0
Cross.list-paymentreconciliations-json,4,3,0
Cross.list-paymentreconciliations-xml,4,3,0
Cross.list-people,4,1,0
Cross.list-people-json,4,1,0
Cross.list-people-xml,4,2,0
Cross.list-plandefinitions,4,0,0
Cross.list-plandefinitions-json,4,1,0
Cross.list-plandefinitions-xml,4,1,0
Cross.list-practitionerroles,4,0,0
Cross.list-practitionerroles-json,4,0,0
Cross.list-practitionerroles-xml,4,2,0
Cross.list-practitioners,4,0,0
Cross.list-practitioners-json,4,2,0
Cross.list-practitioners-xml,4,2,0
Cross.list-procedures,4,0,0
Cross.list-procedures-json,4,1,0
Cross.list-procedures-xml,4,2,0
Cross.list-provenances,4,1,0
Cross.list-provenances-json,4,3,0
Cross.list-provenances-xml,4,3,0
Cross.list-questionnaireresponses,4,1,0
Cross.list-questionnaireresponses-json,4,1,0
Cross.list-questionnaireresponses-xml,4,1,0
Cross.list-questionnaires,4,0,0
Cross.list-questionnaires-json,4,1,0
Cross.list-questionnaires-xml,4,2,0
Cross.list-relatedpeople,4,0,0
Cross.list-relatedpeople-json,4,2,0
Cross.list-relatedpeople-xml,4,2,0
Cross.list-requestgroups,4,0,0
Cross.list-requestgroups-json,4,1,0
Cross.list-requestgroups-xml,4,1,0
Cross.list-requirements,4,0,0
Cross.list-requirements-json,4,1,0
Cross.list-requirements-xml,4,1,0
Cross.list-researchdefinitions,4,0,0
Cross.list-researchdefinitions-json,4,0,0
Cross.list-researchdefinitions-xml,4,2,0
Cross.list-researchelementdefinitions,4,1,0
Cross.list-researchelementdefinitions-json,4,1,0
Cross.list-researchelementdefinitions-xml,4,2,0
Cross.list-researchstudies,4,0,0
Cross.list-researchstudies-json,4,0,0
Cross.list-researchstudies-xml,4,2,0
Cross.list-researchsubjects,4,0,0
Cross.list-researchsubjects-json,4,0,0
Cross.list-researchsubjects-xml,4,1,0
Cross.list-riskassessments,4,0,0
Cross.list-riskassessments-json,4,0,0
Cross.list-riskassessments-xml,4,1,0
Cross.list-riskevidencesyntheses,4,0,0
Cross.list-riskevidencesyntheses-json,4,0,0
Cross.list-riskevidencesyntheses-xml,4,1,0
Cross.list-schedules,4,0,0
Cross.list-schedules-json,4,0,0
Cross.list-schedules-xml,4,2,0
Cross.list-searchparameters,4,1,0
Cross.list-searchparameters-json,4,1,0
Cross.list-searchparameters-xml,4,1,0
Cross.list-servicerequests,4,0,0
Cross.list-servicerequests-json,4,2,0
Cross.list-servicerequests-xml,4,2,0
Cross.list-simple-accounts,4,0,0
Cross.list-simple-accounts-json,4,0,0
Cross.list-simple-accounts-xml,4,0,0
Cross.list-simple-activitydefinitions,4,1,0
Cross.list-simple-activitydefinitions-json,4,1,0
Cross.list-simple-activitydefinitions-xml,4,1,0
Cross.list-simple-actordefinitions,4,1,0
Cross.list-simple-actordefinitions-json,4,2,0
Cross.list-simple-actordefinitions-xml,4,3,0
Cross.list-simple-adverseevents,4,1,0
Cross.list-simple-adverseevents-json,4,1,0
Cross.list-simple-adverseevents-xml,4,2,0
Cross.list-simple-allergyintolerances,4,0,0
Cross.list-simple-allergyintolerances-json,4,0,0
Cross.list-simple-allergyintolerances-xml,4,0,0
Cross.list-simple-appointmentresponses,4,1,0
Cross.list-simple-appointmentresponses-json,4,1,0
Cross.list-simple-appointmentresponses-xml,4,2,0
Cross.list-simple-appointments,4,1,0
Cross.list-simple-appointments-json,4,1,0
Cross.list-simple-appointments-xml,4,3,0
Cross.list-simple-auditevents,4,0,0
Cross.list-simple-auditevents-json,4,0,0
Cross.list-simple-auditevents-xml,4,0,0
Cross.list-simple-basics,4,0,0
Cross.list-simple-basics-json,4,0,0
Cross.list-simple-basics-xml,4,1,0
Cross.list-simple-binaries,4,0,0
Cross.list-simple-binaries-json,4,1,0
Cross.list-simple-binaries-xml,4,1,0
Cross.list-simple-biologicallyderivedproducts,4,1,0
Cross.list-simple-biologicallyderivedproducts-json,4,1,0
Cross.list-simple-biologicallyderivedproducts-xml,4,1,0
Cross.list-simple-bodystructures,4,0,0
Cross.list-simple-bodystructures-json,4,3,0
Cross.list-simple-bodystructures-xml,4,4,0
Cross.list-simple-bundles,4,0,0
Cross.list-simple-bundles-json,4,2,0
Cross.list-simple-bundles-xml,4,2,0
Cross.list-simple-byid-accounts,4,1,0
Cross.list-simple-byid-accounts-json,4,1,0
Cross.list-simple-byid-accounts-xml,4,1,0
Cross.list-simple-byid-activitydefinitions,4,0,0
Cross.list-simple-byid-activitydefinitions-json,4,1,0
Cross.list-simple-byid-activitydefinitions-xml,4,2,0
Cross.list-simple-byid-actordefinitions,4,0,0
Cross.list-simple-byid-actordefinitions-json,4,0,0
Cross.list-simple-byid-actordefinitions-xml,4,0,0
Cross.list-simple-byid-adverseevents,4,0,0
Cross.list-simple-byid-adverseevents-json,4,0,0
Cross.list-simple-byid-adverseevents-xml,4,1,0
Cross.list-simple-byid-allergyintolerances,4,1,0
Cross.list-simple-byid-allergyintolerances-json,4,1,0
Cross.list-simple-byid-allergyintolerances-xml,4,3,0
Cross.list-simple-byid-appointmentresponses,4,1,0
Cross.list-simple-byid-appointmentresponses-json,4,1,0
Cross.list-simple-byid-appointmentresponses-xml,4,2,0
Cross.list-simple-byid-appointments,4,0,0
Cross.list-simple-byid-appointments-json,4,1,0
Cross.list-simple-byid-appointments-xml,4,3,0
Cross.list-simple-byid-auditevents,4,0,0
Cross.list-simple-byid-auditevents-json,4,0,0
Cross.list-simple-byid-auditevents-xml,4,1,0
Cross.list-simple-byid-basics,4,0,0
Cross.list-simple-byid-basics-json,4,1,0
Cross.list-simple-byid-basics-xml,4,1,0
Cross.list-simple-byid-binaries,4,0,0
Cross.list-simple-byid-binaries-json,4,0,0
Cross.list-simple-byid-binaries-xml,4,1,0
Cross.list-simple-byid-biologicallyderivedproducts,4,1,0
Cross.list-simple-byid-biologicallyderivedproducts-json,4,3,0
Cross.list-simple-byid-biologicallyderivedproducts-xml,4,3,0
Cross.list-simple-byid-bodystructures,4,0,0
Cross.list-simple-byid-bodystructures-json,4,0,0
Cross.list-simple-byid-bodystructures-xml,4,0,0
Cross.list-simple-byid-bundles,4,1,0
Cross.list-simple-byid-bundles-json,4,1,0
Cross.list-simple-byid-bundles-xml,4,2,0
Cross.list-simple-byid-capabilitystatements,4,2,0
Cross.list-simple-byid-capabilitystatements-json,4,2,0
Cross.list-simple-byid-capabilitystatements-xml,4,2,0
Cross.list-simple-byid-careplans,4,2,0
Cross.list-simple-byid-careplans-json,4,3,0
Cross.list-simple-byid-careplans-xml,4,3,0
Cross.list-simple-byid-careteams,4,0,0
Cross.list-simple-byid-careteams-json,4,1,0
Cross.list-simple-byid-careteams-xml,4,2,0
Cross.list-simple-byid-catalogentries,4,0,0
Cross.list-simple-byid-catalogentries-json,4,1,0
Cross.list-simple-byid-catalogentries-xml,4,1,0
Cross.list-simple-byid-chargeitemdefinitions,4,0,0
Cross.list-simple-byid-chargeitemdefinitions-json,4,0,0
Cross.list-simple-byid-chargeitemdefinitions-xml,4,0,0
Cross.list-simple-byid-chargeitems,4,0,0
Cross.list-simple-byid-chargeitems-json,4,1,0
Cross.list-simple-byid-chargeitems-xml,4,1,0
Cross.list-simple-byid-claimresponses,4,0,0
Cross.list-simple-byid-claimresponses-json,4,1,0
Cross.list-simple-byid-claimresponses-xml,4,1,0
Cross.list-simple-byid-claims,4,0,0
Cross.list-simple-byid-claims-json,4,1,0
Cross.list-simple-byid-claims-xml,4,1,0
Cross.list-simple-byid-clinicalimpressions,4,1,0
Cross.list-simple-byid-clinicalimpressions-json,4,1,0
Cross.list-simple-byid-clinicalimpressions-xml,4,2,0
Cross.list-simple-byid-codesystems,4,1,404
Cross.list-simple-byid-codesystems-json,4,1,424
Cross.list-simple-byid-codesystems-xml,4,3,420
Cross.list-simple-byid-communicationrequests,4,0,0
Cross.list-simple-byid-communicationrequests-json,4,1,0
Cross.list-simple-byid-communicationrequests-xml,4,1,0
Cross.list-simple-byid-communications,4,1,0
Cross.list-simple-byid-communications-json,4,1,0
Cross.list-simple-byid-communications-xml,4,1,0
Cross.list-simple-byid-compartmentdefinitions,4,0,0
Cross.list-simple-byid-compartmentdefinitions-json,4,1,0
Cross.list-simple-byid-compartmentdefinitions-xml,4,2,0
Cross.list-simple-byid-compositions,4,0,0
Cross.list-simple-byid-compositions-json,4,0,0
Cross.list-simple-byid-compositions-xml,4,1,0
Cross.list-simple-byid-conceptmaps,4,1,0
Cross.list-simple-byid-conceptmaps-json,4,2,0
Cross.list-simple-byid-conceptmaps-xml,4,2,0
Cross.list-simple-byid-conditions,4,0,0
Cross.list-simple-byid-conditions-json,4,1,0
Cross.list-simple-byid-conditions-xml,4,3,0
Cross.list-simple-byid-consents,4,0,0
Cross.list-simple-byid-consents-json,4,1,0
Cross.list-simple-byid-consents-xml,4,2,0
Cross.list-simple-byid-contracts,4,0,0
Cross.list-simple-byid-contracts-json,4,2,0
Cross.list-simple-byid-contracts-xml,4,2,0
Cross.list-simple-byid-coverageeligibilityrequests,4,1,0
Cross.list-simple-byid-coverageeligibilityrequests-json,4,1,0
Cross.list-simple-byid-coverageeligibilityrequests-xml,4,2,0
Cross.list-simple-byid-coverageeligibilityresponses,4,1,0
Cross.list-simple-byid-coverageeligibilityresponses-json,4,2,0
Cross.list-simple-byid-coverageeligibilityresponses-xml,4,2,0
Cross.list-simple-byid-coverages,4,0,0
Cross.list-simple-byid-coverages-json,4,0,0
Cross.list-simple-byid-coverages-xml,4,0,0
Cross.list-simple-byid-detectedissues,4,1,0
Cross.list-simple-byid-detectedissues-json,4,1,0
Cross.list-simple-byid-detectedissues-xml,4,2,0
Cross.list-simple-byid-devicedefinitions,4,1,0
Cross.list-simple-byid-devicedefinitions-json,4,1,0
Cross.list-simple-byid-devicedefinitions-xml,4,1,0
Cross.list-simple-byid-devicemetrics,4,0,0
Cross.list-simple-byid-devicemetrics-json,4,0,0
Cross.list-simple-byid-devicemetrics-xml,4,0,0
Cross.list-simple-byid-devicerequests,4,0,0
Cross.list-simple-byid-devicerequests-json,4,1,0
Cross.list-simple-byid-devicerequests-xml,4,1,0
Cross.list-simple-byid-devices,4,0,0
Cross.list-simple-byid-devices-json,4,0,0
Cross.list-simple-byid-devices-xml,4,0,0
Cross.list-simple-byid-deviceusestatements,4,1,0
Cross.list-simple-byid-deviceusestatements-json,4,2,0
Cross.list-simple-byid-deviceusestatements-xml,4,2,0
Cross.list-simple-byid-diagnosticreports,4,1,0
Cross.list-simple-byid-diagnosticreports-json,4,1,0
Cross.list-simple-byid-diagnosticreports-xml,4,1,0
Cross.list-simple-byid-documentmanifests,4,1,0
Cross.list-simple-byid-documentmanifests-json,4,1,0
Cross.list-simple-byid-documentmanifests-xml,4,1,0
Cross.list-simple-byid-documentreferences,4,0,0
Cross.list-simple-byid-documentreferences-json,4,2,0
Cross.list-simple-byid-documentreferences-xml,4,2,0
Cross.list-simple-byid-domainresources,4,0,0
Cross.list-simple-byid-domainresources-json,4,1,0
Cross.list-simple-byid-domainresources-xml,4,2,0
Cross.list-simple-byid-effectevidencesyntheses,4,0,0
Cross.list-simple-byid-effectevidencesyntheses-json,4,1,0
Cross.list-simple-byid-effectevidencesyntheses-xml,4,2,0
Cross.list-simple-byid-encounters,4,0,0
Cross.list-simple-byid-encounters-json,4,0,0
Cross.list-simple-byid-encounters-xml,4,0,0
Cross.list-simple-byid-endpoints,4,0,0
Cross.list-simple-byid-endpoints-json,4,2,0
Cross.list-simple-byid-endpoints-xml,4,2,0
Cross.list-simple-byid-enrollmentrequests,4,0,0
Cross.list-simple-byid-enrollmentrequests-json,4,1,0
Cross.list-simple-byid-enrollmentrequests-xml,4,1,0
Cross.list-simple-byid-enrollmentresponses,4,1,0
Cross.list-simple-byid-enrollmentresponses-json,4,2,0
Cross.list-simple-byid-enrollmentresponses-xml,4,2,0
Cross.list-simple-byid-episodeofcares,4,1,0
Cross.list-simple-byid-episodeofcares-json,4,2,0
Cross.list-simple-byid-episodeofcares-xml,4,4,0
Cross.list-simple-byid-eventdefinitions,4,1,0
Cross.list-simple-byid-eventdefinitions-json,4,2,0
Cross.list-simple-byid-eventdefinitions-xml,4,3,0
Cross.list-simple-byid-evidences,4,0,0
Cross.list-simple-byid-evidences-json,4,0,0
Cross.list-simple-byid-evidences-xml,4,2,0
Cross.list-simple-byid-evidencevariables,4,1,0
Cross.list-simple-byid-evidencevariables-json,4,1,0
Cross.list-simple-byid-evidencevariables-xml,4,2,0
Cross.list-simple-byid-examplescenarios,4,0,0
Cross.list-simple-byid-examplescenarios-json,4,2,0
Cross.list-simple-byid-examplescenarios-xml,4,2,0
Cross.list-simple-byid-explanationofbenefits,4,0,0
Cross.list-simple-byid-explanationofbenefits-json,4,1,0
Cross.list-simple-byid-explanationofbenefits-xml,4,2,0
Cross.list-simple-byid-familymemberhistories,4,0,0
Cross.list-simple-byid-familymemberhistories-json,4,2,0
Cross.list-simple-byid-familymemberhistories-xml,4,3,0
Cross.list-simple-byid-flags,4,0,0
Cross.list-simple-byid-flags-json,4,2,0
Cross.list-simple-byid-flags-xml,4,2,0
Cross.list-simple-byid-goals,4,0,0
Cross.list-simple-byid-goals-json,4,1,0
Cross.list-simple-byid-goals-xml,4,1,0
Cross.list-simple-byid-graphdefinitions,4,0,0
Cross.list-simple-byid-graphdefinitions-json,4,0,0
Cross.list-simple-byid-graphdefinitions-xml,4,1,0
Cross.list-simple-byid-groups,4,0,0
Cross.list-simple-byid-groups-json,4,0,0
Cross.list-simple-byid-groups-xml,4,0,0
Cross.list-simple-byid-guidanceresponses,4,0,0
Cross.list-simple-byid-guidanceresponses-json,4,1,0
Cross.list-simple-byid-guidanceresponses-xml,4,2,0
Cross.list-simple-byid-healthcareservices,4,0,0
Cross.list-simple-byid-healthcareservices-json,4,2,0
Cross.list-simple-byid-healthcareservices-xml,4,3,0
Cross.list-simple-byid-imagingstudies,4,0,0
Cross.list-simple-byid-imagingstudies-json,4,1,0
Cross.list-simple-byid-imagingstudies-xml,4,2,0
Cross.list-simple-byid-immunizationevaluations,4,0,0
Cross.list-simple-byid-immunizationevaluations-json,4,0,0
Cross.list-simple-byid-immunizationevaluations-xml,4,0,0
Cross.list-simple-byid-immunizationrecommendations,4,1,0
Cross.list-simple-byid-immunizationrecommendations-json,4,1,0
Cross.list-simple-byid-immunizationrecommendations-xml,4,1,0
Cross.list-simple-byid-immunizations,4,0,0
Cross.list-simple-byid-immunizations-json,4,1,0
Cross.list-simple-byid-immunizations-xml,4,2,0
Cross.list-simple-byid-implementationguides,4,1,236
Cross.list-simple-byid-implementationguides-json,4,1,256
Cross.list-simple-byid-implementationguides-xml,4,1,252
Cross.list-simple-byid-insuranceplans,4,0,0
Cross.list-simple-byid-insuranceplans-json,4,1,0
Cross.list-simple-byid-insuranceplans-xml,4,3,0
Cross.list-simple-byid-invoices,4,0,0
Cross.list-simple-byid-invoices-json,4,1,0
Cross.list-simple-byid-invoices-xml,4,2,0
Cross.list-simple-byid-libraries,4,0,0
Cross.list-simple-byid-libraries-json,4,1,0
Cross.list-simple-byid-libraries-xml,4,2,0
Cross.list-simple-byid-linkages,4,1,0
Cross.list-simple-byid-linkages-json,4,1,0
Cross.list-simple-byid-linkages-xml,4,1,0
Cross.list-simple-byid-lists,4,0,0
Cross.list-simple-byid-lists-json,4,2,0
Cross.list-simple-byid-lists-xml,4,3,0
Cross.list-simple-byid-locations,4,0,0
Cross.list-simple-byid-locations-json,4,1,0
Cross.list-simple-byid-locations-xml,4,1,0
Cross.list-simple-byid-measurereports,4,1,0
Cross.list-simple-byid-measurereports-json,4,2,0
Cross.list-simple-byid-measurereports-xml,4,2,0
Cross.list-simple-byid-measures,4,1,0
Cross.list-simple-byid-measures-json,4,1,0
Cross.list-simple-byid-measures-xml,4,1,0
Cross.list-simple-byid-media,4,0,0
Cross.list-simple-byid-media-json,4,0,0
Cross.list-simple-byid-media-xml,4,1,0
Cross.list-simple-byid-medicationadministrations,4,0,0
Cross.list-simple-byid-medicationadministrations-json,4,0,0
Cross.list-simple-byid-medicationadministrations-xml,4,2,0
Cross.list-simple-byid-medicationdispenses,4,0,0
Cross.list-simple-byid-medicationdispenses-json,4,1,0
Cross.list-simple-byid-medicationdispenses-xml,4,2,0
Cross.list-simple-byid-medicationknowledges,4,0,0
Cross.list-simple-byid-medicationknowledges-json,4,0,0
Cross.list-simple-byid-medicationknowledges-xml,4,0,0
Cross.list-simple-byid-medicationrequests,4,0,0
Cross.list-simple-byid-medicationrequests-json,4,0,0
Cross.list-simple-byid-medicationrequests-xml,4,2,0
Cross.list-simple-byid-medications,4,0,0
Cross.list-simple-byid-medications-json,4,0,0
Cross.list-simple-byid-medications-xml,4,1,0
Cross.list-simple-byid-medicationstatements,4,0,0
Cross.list-simple-byid-medicationstatements-json,4,2,0
Cross.list-simple-byid-medicationstatements-xml,4,2,0
Cross.list-simple-byid-medicinalproductauthorizations,4,1,0
Cross.list-simple-byid-medicinalproductauthorizations-json,4,1,0
Cross.list-simple-byid-medicinalproductauthorizations-xml,4,2,0
Cross.list-simple-byid-medicinalproductcontraindications,4,0,0
Cross.list-simple-byid-medicinalproductcontraindications-json,4,1,0
Cross.list-simple-byid-medicinalproductcontraindications-xml,4,1,0
Cross.list-simple-byid-medicinalproductindications,4,0,0
Cross.list-simple-byid-medicinalproductindications-json,4,0,0
Cross.list-simple-byid-medicinalproductindications-xml,4,0,0
Cross.list-simple-byid-medicinalproductingredients,4,1,0
Cross.list-simple-byid-medicinalproductingredients-json,4,1,0
Cross.list-simple-byid-medicinalproductingredients-xml,4,3,0
Cross.list-simple-byid-medicinalproductinteractions,4,0,0
Cross.list-simple-byid-medicinalproductinteractions-json,4,0,0
Cross.list-simple-byid-medicinalproductinteractions-xml,4,0,0
Cross.list-simple-byid-medicinalproductmanufactureds,4,1,0
Cross.list-simple-byid-medicinalproductmanufactureds-json,4,1,0
Cross.list-simple-byid-medicinalproductmanufactureds-xml,4,1,0
Cross.list-simple-byid-medicinalproductpackageds,4,0,0
Cross.list-simple-byid-medicinalproductpackageds-json,4,0,0
Cross.list-simple-byid-medicinalproductpackageds-xml,4,2,0
Cross.list-simple-byid-medicinalproductpharmaceuticals,4,2,0
Cross.list-simple-byid-medicinalproductpharmaceuticals-json,4,2,0
Cross.list-simple-byid-medicinalproductpharmaceuticals-xml,4,2,0
Cross.list-simple-byid-medicinalproducts,4,0,0
Cross.list-simple-byid-medicinalproducts-json,4,0,0
Cross.list-simple-byid-medicinalproducts-xml,4,2,0
Cross.list-simple-byid-medicinalproductundesirableeffects,4,1,0
Cross.list-simple-byid-medicinalproductundesirableeffects-json,4,1,0
Cross.list-simple-byid-medicinalproductundesirableeffects-xml,4,2,0
Cross.list-simple-byid-messagedefinitions,4,1,0
Cross.list-simple-byid-messagedefinitions-json,4,3,0
Cross.list-simple-byid-messagedefinitions-xml,4,3,0
Cross.list-simple-byid-messageheaders,4,1,0
Cross.list-simple-byid-messageheaders-json,4,2,0
Cross.list-simple-byid-messageheaders-xml,4,3,0
Cross.list-simple-byid-molecularsequences,4,0,0
Cross.list-simple-byid-molecularsequences-json,4,1,0
Cross.list-simple-byid-molecularsequences-xml,4,1,0
Cross.list-simple-byid-namingsystems,4,0,0
Cross.list-simple-byid-namingsystems-json,4,1,0
Cross.list-simple-byid-namingsystems-xml,4,1,0
Cross.list-simple-byid-nutritionorders,4,0,0
Cross.list-simple-byid-nutritionorders-json,4,1,0
Cross.list-simple-byid-nutritionorders-xml,4,1,0
Cross.list-simple-byid-observationdefinitions,4,1,0
Cross.list-simple-byid-observationdefinitions-json,4,2,0
Cross.list-simple-byid-observationdefinitions-xml,4,2,0
Cross.list-simple-byid-observations,4,0,0
Cross.list-simple-byid-observations-json,4,0,0
Cross.list-simple-byid-observations-xml,4,2,0
Cross.list-simple-byid-operationdefinitions,4,0,0
Cross.list-simple-byid-operationdefinitions-json,4,1,0
Cross.list-simple-byid-operationdefinitions-xml,4,2,0
Cross.list-simple-byid-operationoutcomes,4,1,0
Cross.list-simple-byid-operationoutcomes-json,4,1,0
Cross.list-simple-byid-operationoutcomes-xml,4,1,0
Cross.list-simple-byid-organizationaffiliations,4,0,0
Cross.list-simple-byid-organizationaffiliations-json,4,1,0
Cross.list-simple-byid-organizationaffiliations-xml,4,1,0
Cross.list-simple-byid-organizations,4,1,0
Cross.list-simple-byid-organizations-json,4,1,0
Cross.list-simple-byid-organizations-xml,4,1,0
Cross.list-simple-byid-parameters,4,0,0
Cross.list-simple-byid-parameters-json,4,1,0
Cross.list-simple-byid-parameters-xml,4,3,0
Cross.list-simple-byid-patients,4,0,0
Cross.list-simple-byid-patients-json,4,0,0
Cross.list-simple-byid-patients-xml,4,1,0
Cross.list-simple-byid-paymentnotices,4,0,0
Cross.list-simple-byid-paymentnotices-json,4,1,0
